,Unnamed: 0,smiles,FDA_APPROVED,CT_TOX,target_actual,fp
565,565,C[N+]12CCC(CC1)C(C2)OC(=O)C(c3ccccc3)(c4ccccc4)O,1,0,0,[0 0 0 ... 0 0 0]
748,748,CC(C)CC1C[NH+]2CCc3cc(c(cc3C2CC1=O)OC)OC,1,0,0,[0 1 0 ... 0 0 0]
438,438,C[C@@H]1CN(C[C@@H]([NH2+]1)C)c2c(c(c3c(c2F)n(cc(c3=O)C(=O)[O-])C4CC4)N)F,1,0,0,[0 0 0 ... 0 0 0]
1048,1048,CC[C@@H]([C@H](C)O)n1c(=O)n(cn1)c2ccc(cc2)N3CCN(CC3)c4ccc(cc4)OC[C@H]5C[C@](OC5)(Cn6cncn6)c7ccc(cc7F)F,1,0,0,[1 1 0 ... 0 0 0]
1250,1250,CCCCCCCCCCCCCCCCO,1,0,0,[0 0 0 ... 0 0 0]
515,515,C[C@H](Cn1cnc2c1ncnc2N)OCP(=O)([O-])[O-],1,0,0,[0 1 0 ... 0 0 0]
216,216,c1cc(oc1/C=N/N2CCOC2=O)[N+](=O)[O-],1,0,0,[0 0 0 ... 0 0 0]
710,710,CC(C)[NH+]1CCN(CC1)c2ccc(cc2)OC[C@H]3CO[C@](O3)(Cn4cncn4)c5ccc(cc5Cl)Cl,1,0,0,[1 1 0 ... 0 0 0]
895,895,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)c2cccc3c2non3)C(=O)OC,1,0,0,[0 1 0 ... 0 0 0]
1248,1248,CCCCCCCCCCCCCCCC[N+](C)(C)CCN(Cc1ccc(cc1)OC)c2ncccn2,1,0,0,[0 0 0 ... 0 0 0]
567,567,C[n+]1ccccc1/C=N/O,1,0,0,[0 0 0 ... 0 0 0]
1085,1085,CC[NH+](CC)Cc1cc(ccc1O)Nc2ccnc3c2ccc(c3)Cl,1,0,0,[0 0 0 ... 0 0 0]
1298,1298,CCn1cc(c(=O)c2c1c(c(c(c2)F)N3CC[NH2+]C(C3)C)F)C(=O)[O-],1,0,0,[0 0 0 ... 0 0 0]
1092,1092,CC[NH+](CC)CCOC(=O)c1ccc(cc1)N,1,0,0,[0 0 0 ... 0 0 0]
424,424,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CCl)OC(=O)c5ccco5)C)O)Cl)C,1,0,0,[0 0 0 ... 0 0 0]
356,356,C1CN1P(=S)(N2CC2)N3CC3,1,0,0,[0 0 0 ... 0 0 0]
142,142,c1cc(c(c(c1)Cl)Cl)N2CC[NH+](CC2)CCCCOc3ccc4c(c3)NC(=O)CC4,1,0,0,[0 0 0 ... 0 0 0]
907,907,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C\C(=O)[O-])/C)/C,1,0,0,[0 0 0 ... 0 0 0]
611,611,C[NH+]1CC[C@]23c4c5ccc(c4O[C@H]2[C@H](C=C[C@H]3[C@H]1C5)O)O,1,0,0,[0 0 0 ... 0 0 0]
232,232,c1cc2c(nc1)C(=C3CC[NH2+]CC3)c4ccc(cc4CC2)Cl,1,0,0,[0 0 0 ... 0 0 0]
324,324,c1ccc2c(c1)C3=[NH+]CCN3C2(c4ccc(cc4)Cl)O,1,0,0,[0 0 0 ... 0 0 0]
1118,1118,CCC(=O)[C@]1([C@@H](CC2[C@@]1(C[C@@H](C3C2CCC4=CC(=O)C=C[C@]34C)O)C)C)C,1,0,0,[0 0 0 ... 0 1 0]
1289,1289,CCN(CC)c1ccc(cc1)C(=C2C=CC(=[N+](CC)CC)C=C2)c3cc(ccc3S(=O)(=O)[O-])S(=O)(=O)[O-],1,0,0,[0 0 0 ... 0 0 1]
620,620,C[NH+]1CCC(=C2c3ccccc3C=Cc4c2cccc4)CC1,1,0,0,[0 0 0 ... 0 0 0]
697,697,CC(C)(CO)[C@H](C(=O)NCCC(=O)[O-])O,1,0,0,[0 1 0 ... 0 0 0]
254,254,c1ccc(cc1)C(c2ccccc2)([C@@H]3CC[NH+](C3)CCc4ccc5c(c4)CCO5)C(=O)N,1,0,0,[0 0 0 ... 0 0 0]
1249,1249,CCCCCCCCCCCCCCCCCCCCCCO,1,0,0,[0 0 0 ... 0 0 0]
1317,1317,CCOC(=O)[C@H](CCc1ccccc1)[NH2+][C@@H](C)C(=O)N2Cc3cc(c(cc3C[C@H]2C(=O)[O-])OC)OC,1,0,0,[0 1 0 ... 0 0 0]
