,Unnamed: 0,CMPD_CHEMBLID,exp,smiles,drug_like,target_actual,fp
2034,2034,CHEMBL1917445,0.05,Cc1ccc2c(c1)c([S+]([O-])c3ccc(Cl)cc3)c(C)n2CC(=O)O,1,1,[0 0 0 ... 0 0 0]
3757,3757,CHEMBL744,3.34,Nc1nc2ccc(OC(F)(F)F)cc2s1,1,1,[0 0 0 ... 0 0 0]
1728,1728,CHEMBL2030964,0.78,CNc1cccc(CCCc2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)s2)n1,1,1,[0 1 0 ... 0 0 0]
1490,1490,CHEMBL1425658,3.65,C(N1CCN(CC1)c2nc3ccccc3s2)c4nnnn4Cc5cccs5,1,1,[0 0 0 ... 0 0 0]
2215,2215,CHEMBL252956,3.53,O=C1CCCc2nc(ccc12)C#Cc3ccccc3,1,1,[0 0 1 ... 0 0 0]
1203,1203,CHEMBL139088,3.2,Fc1cccc(c1)C(COCc2cc(cc(c2)C(F)(F)F)C(F)(F)F)N3CCNCC3,1,1,[0 1 0 ... 0 0 0]
2329,2329,CHEMBL1682823,3.3,O=C1CCOc2nc(ccc12)C#CC3CCCCC3,1,1,[0 0 1 ... 0 0 0]
1282,1282,CHEMBL584991,2.7,Nc1nonc1\C(=N\O)\Nc2ccc(F)c(Cl)c2,1,1,[0 0 0 ... 0 0 0]
3080,3080,CHEMBL2181926,2.63,CCOC(=O)C1=C(C)NC(=C([C@H]1c2cccc3C(=O)C=C(C)Oc23)C(=O)C)C,1,1,[0 0 0 ... 0 0 0]
3032,3032,CHEMBL2018969,2.09,COc1cccc2c1c(NS(=O)(=O)c3ccc(Cl)s3)nn2Cc4cccc(CNC(=O)C(C)(C)O)c4,1,1,[0 0 0 ... 0 0 0]
2312,2312,CHEMBL226804,2.1,CC(N1NC(=O)C2=C(C1=O)C(=O)c3ccc(Cl)cc3N2)c4oc5ccccc5c4,1,1,[0 1 0 ... 0 0 0]
3550,3550,CHEMBL199118,3.61,CCN(C1CCN(CCC(c2ccccc2)c3ccc(NC(=O)Cc4ccccc4)cc3)CC1)C(=O)Cc5ccc(cc5)S(=O)(=O)C,1,1,[0 1 0 ... 0 0 0]
1248,1248,CHEMBL1566172,2.34,Nc1nnc(Cc2ccc(Cl)cc2)s1,1,1,[0 0 0 ... 0 0 0]
