,Unnamed: 0,CMPD_CHEMBLID,exp,smiles,drug_like,fp
3036,3036,CHEMBL436826,4.25,CCOc1ccc(cc1)N2C(=O)c3ccccc3N=C2[C@@H](C)N(Cc4cccnc4)C(=O)Cc5ccc(cc5)C(F)(F)F,1,[0 1 0 ... 0 0 0]
3484,3484,CHEMBL50347,2.9,COC(=O)CCCCCCC(=O)Nc1ccc2c(c1)C(=O)C(=O)c3ccccc23,1,[0 1 0 ... 0 0 0]
2839,2839,CHEMBL87785,4.35,C[C@H](CNCCc1ccncc1)c2c([nH]c3ccc(cc23)C(C)(C)C(=O)N4C5CCC4CC5)c6cc(C)cc(C)c6,1,[0 1 0 ... 0 0 0]
72,72,CHEMBL1652588,3.16,Cn1cncc1c2c3C(=O)N(CC#C)C(=O)N(CC4CC4)c3nn2Cc5ccnc6ccc(Cl)cc56,1,[0 0 0 ... 0 0 0]
2792,2792,CHEMBL1951072,1.95,COc1cc(OC)c(cc1NC(=O)C)S(=O)(=O)N2C(C)Cc3ccccc23,1,[0 0 0 ... 0 0 0]
1994,1994,CHEMBL2158833,1.1,OC(=O)c1ccc(CN2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2)cc1,1,[0 0 0 ... 0 0 0]
799,799,CHEMBL217354,3.44,CC(C)c1ccccc1Cc2cc(C(=O)Nc3ccc(cc3)S(=O)(=O)c4ccccc4C(C)(C)C)c(O)c(O)c2O,1,[0 1 0 ... 0 0 0]
2759,2759,CHEMBL110599,3.07,COc1ccc(C(CN2CCCC2)N(C)C(=O)Cc3ccc(Cl)c(Cl)c3)c(OC)c1,1,[0 1 0 ... 0 1 0]
2103,2103,CHEMBL2331843,2.0,CCc1[nH]c2nc(Sc3cnc4ccc[n+]([O-])c4c3)nc(N5CC[C@@H](N)C5)c2c1Cl,1,[0 0 0 ... 0 0 0]
1410,1410,CHEMBL1824034,0.83,COC(=O)c1ccc2OCC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1,1,[0 0 0 ... 0 0 0]
156,156,CHEMBL1940108,3.11,COc1cccc(NC(=O)Cn2cc(Oc3ncnc4cc(OC)c(OC)cc34)cn2)c1,1,[0 0 0 ... 0 0 0]
2377,2377,CHEMBL2035040,1.3,NC(=O)c1cnc(c2ccc(cc2)C3(N)CCC3)c(c1)c4ccccc4,1,[0 0 0 ... 0 0 0]
3610,3610,CHEMBL1419,3.6,CC(C)CC(N(C)C)C1(CCC1)c2ccc(Cl)cc2,1,[0 1 0 ... 0 0 0]
87,87,CHEMBL1689126,0.18,C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc3ccccc3,1,[0 0 0 ... 0 0 0]
465,465,CHEMBL230641,4.21,CC(C)c1ccccc1Nc2nc(SCc3cccs3)n[nH]2,1,[0 1 0 ... 0 0 0]
1958,1958,CHEMBL2058280,2.8,Nc1scc2C(=NN(C(=O)c12)c3ccc(F)cc3)C(=O)NC4CC4,1,[0 0 0 ... 0 0 0]
