,Unnamed: 0,Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,smiles,binned_sol,fp
873,873,"2,4-Dimethyl-2-pentanol ",-1.6469999999999998,1,116.20399999999998,1,0,2,20.23,-0.92,CC(C)CC(C)(C)O,1,[0 1 0 ... 0 0 0]
427,427,rhodanine,-0.396,1,133.197,1,1,0,29.1,-1.77,C1SC(=S)NC1(=O),0,[0 0 0 ... 0 0 0]
638,638,Bromoethane,-1.529,1,108.966,0,0,0,0.0,-1.09,CCBr,0,[0 0 0 ... 0 0 0]
950,950,Chloropham,-3.544,1,213.664,1,1,2,38.33,-3.38,CC(C)OC(=O)Nc1cccc(Cl)c1,0,[0 1 0 ... 0 0 0]
436,436,Diethyl sulfide,-1.598,1,90.191,0,0,2,0.0,-1.34,CCSCC,0,[0 0 0 ... 0 0 0]
1122,1122,m-Nitrotoluene,-2.64,1,137.138,0,1,1,43.14,-2.44,Cc1cccc(c1)N(=O)=O,0,[0 0 0 ... 0 0 0]
683,683,Antipyrene,-1.733,1,188.23,0,2,1,26.93,0.715,Cc1cc(=O)n(c2ccccc2)n1C,1,[0 0 0 ... 0 0 0]
478,478,2-Methylpentane,-2.6,1,86.178,0,0,2,0.0,-3.74,CCCC(C)C,0,[0 1 0 ... 0 0 0]
1113,1113,Oxycarboxin,-2.169,1,267.306,1,2,2,72.47,-2.281,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,0,[0 0 0 ... 0 0 0]
837,837,Metoxuron,-2.6830000000000003,1,228.679,1,1,2,41.57,-2.564,COc1ccc(NC(=O)N(C)C)cc1Cl,0,[0 0 0 ... 0 0 0]
702,702,cortisone acetate,-3.426,1,402.48700000000025,1,4,3,97.74,-4.21,CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)CCC1(C)C2C(=O)CC34C ,0,[0 0 0 ... 0 0 0]
108,108,2-Methylpropane,-1.891,1,58.124,0,0,0,0.0,-2.55,CC(C)C,0,[0 1 0 ... 0 0 0]
836,836,p-Chloroiodobenzene,-4.384,1,238.455,0,1,0,0.0,-4.03,Clc1ccc(I)cc1,0,[0 0 0 ... 0 0 0]
520,520,1-Butanol,-0.688,1,74.12299999999999,1,0,2,20.23,0.0,CCCCO,1,[0 0 0 ... 0 0 0]
224,224,6-methoxypteridine,-1.589,1,162.15200000000002,0,2,1,60.790000000000006,-1.139,COc2cnc1ncncc1n2,0,[0 0 0 ... 0 0 0]
805,805,Succinimide,0.282,1,99.089,1,1,0,46.17,0.3,O=C1CCC(=O)N1,1,[0 0 0 ... 0 0 0]
723,723,RTI 22,-4.408,1,296.374,1,3,2,48.47,-4.871,CCN2c1cc(N(C)C)cc(C)c1NC(=O)c3cccnc23 ,0,[0 0 0 ... 0 0 0]
725,725,Fenarimol,-4.1080000000000005,1,331.202,1,3,3,46.010000000000005,-4.38,OC(c1ccc(Cl)cc1)(c2cncnc2)c3ccccc3Cl,0,[0 0 1 ... 0 0 0]
949,949,Mebendazole,-4.118,1,295.298,2,3,3,84.07999999999998,-3.88,COC(=O)Nc2nc1ccc(cc1[nH]2)C(=O)c3ccccc3,0,[0 0 0 ... 0 0 0]
629,629,"2,3,5-Trichlorophenol",-3.78,1,197.448,1,1,0,20.23,-2.67,Oc1cc(Cl)cc(Cl)c1Cl,0,[0 0 0 ... 0 0 0]
