dataset,split_id,split_method,metric,score,model
bace,train,custer,accuracy_score,0.9867909867909868,Chemprop
bace,train,custer,accuracy_score,0.9316239316239316,Chemprop
bace,validate,custer,accuracy_score,0.7610619469026548,Chemprop
bace,validate,custer,accuracy_score,0.6991150442477876,Chemprop
bace,train,random,accuracy_score,0.9875583203732504,Chemprop
bace,validate,random,accuracy_score,0.8458149779735683,Chemprop
clintox,train,custer,accuracy_score,0.9809069212410502,Chemprop
clintox,validate,custer,accuracy_score,0.9683257918552036,Chemprop
clintox,train,random,accuracy_score,0.9840764331210192,Chemprop
clintox,validate,random,accuracy_score,0.9324324324324323,Chemprop
lipophilicity,train,custer,accuracy_score,0.996358543417367,Chemprop
lipophilicity,validate,custer,accuracy_score,0.9634920634920636,Chemprop
lipophilicity,train,random,accuracy_score,0.9980392156862744,Chemprop
lipophilicity,validate,random,accuracy_score,0.9603174603174603,Chemprop
HIV,train,custer,accuracy_score,0.9828651524686768,Chemprop
HIV,validate,custer,accuracy_score,0.9674177338304424,Chemprop
HIV,train,random,accuracy_score,0.9958520468003548,Chemprop
HIV,validate,random,accuracy_score,0.9708265802269044,Chemprop
sol_del,train,custer,accuracy_score,0.9979144942648592,Chemprop
sol_del,validate,custer,accuracy_score,0.8461538461538461,Chemprop
sol_del,train,random,accuracy_score,0.9958246346555324,Chemprop
sol_del,validate,random,accuracy_score,0.8764705882352941,Chemprop
tox21,train,custer,accuracy_score,0.9673073468654572,Chemprop
tox21,validate,custer,accuracy_score,0.8482688391038696,Chemprop
tox21,train,random,accuracy_score,0.9484369385555156,Chemprop
tox21,validate,random,accuracy_score,0.8982706002034588,Chemprop
bace,train,custer,f1_score,0.9899941141848146,Chemprop
bace,train,custer,f1_score,0.9484173505275498,Chemprop
bace,validate,custer,f1_score,0.8474576271186441,Chemprop
bace,validate,custer,f1_score,0.8023255813953488,Chemprop
bace,train,random,f1_score,0.9907300115874854,Chemprop
bace,validate,random,f1_score,0.892966360856269,Chemprop
clintox,train,custer,f1_score,0.8823529411764706,Chemprop
clintox,validate,custer,f1_score,0.0,Chemprop
clintox,train,random,f1_score,0.9019607843137256,Chemprop
clintox,validate,random,f1_score,0.2857142857142857,Chemprop
lipophilicity,train,custer,f1_score,0.9981173062997828,Chemprop
lipophilicity,validate,custer,f1_score,0.9814066289409862,Chemprop
lipophilicity,train,random,f1_score,0.9989856542530068,Chemprop
lipophilicity,validate,random,f1_score,0.9796913078797724,Chemprop
HIV,train,custer,f1_score,0.6929779600205023,Chemprop
HIV,validate,custer,f1_score,0.3777089783281733,Chemprop
HIV,train,random,f1_score,0.9383241173968524,Chemprop
HIV,validate,random,f1_score,0.5027624309392266,Chemprop
sol_del,train,custer,f1_score,0.9931506849315068,Chemprop
sol_del,validate,custer,f1_score,0.59375,Chemprop
sol_del,train,random,f1_score,0.987012987012987,Chemprop
sol_del,validate,random,f1_score,0.5882352941176471,Chemprop
tox21,train,custer,f1_score,0.8392226148409895,Chemprop
tox21,validate,custer,f1_score,0.4156862745098039,Chemprop
tox21,train,random,f1_score,0.7305164319248827,Chemprop
tox21,validate,random,f1_score,0.425287356321839,Chemprop
bace,train,custer,roc_auc_score,0.9829272537417334,Chemprop
bace,train,custer,roc_auc_score,0.9198746954403064,Chemprop
bace,validate,custer,roc_auc_score,0.6355424743732874,Chemprop
bace,validate,custer,roc_auc_score,0.5826651781183396,Chemprop
bace,train,random,roc_auc_score,0.981974027385351,Chemprop
bace,validate,random,roc_auc_score,0.7918923799205488,Chemprop
clintox,train,custer,roc_auc_score,0.9246651785714286,Chemprop
clintox,validate,custer,roc_auc_score,0.5,Chemprop
clintox,train,random,roc_auc_score,0.9388354700854702,Chemprop
clintox,validate,random,roc_auc_score,0.6641355140186916,Chemprop
lipophilicity,train,custer,roc_auc_score,0.9546280095850292,Chemprop
lipophilicity,validate,custer,roc_auc_score,0.5,Chemprop
lipophilicity,train,random,roc_auc_score,0.9715447154471544,Chemprop
lipophilicity,validate,random,roc_auc_score,0.5413427033492824,Chemprop
HIV,train,custer,roc_auc_score,0.777729325598846,Chemprop
HIV,validate,custer,roc_auc_score,0.6299146394137499,Chemprop
HIV,train,random,roc_auc_score,0.9541392623260654,Chemprop
HIV,validate,random,roc_auc_score,0.6943749085053432,Chemprop
sol_del,train,custer,roc_auc_score,0.995960336315692,Chemprop
sol_del,validate,custer,roc_auc_score,0.7205128205128205,Chemprop
sol_del,train,random,roc_auc_score,0.9948686721065236,Chemprop
sol_del,validate,random,roc_auc_score,0.7198822463768115,Chemprop
tox21,train,custer,roc_auc_score,0.877781392364953,Chemprop
tox21,validate,custer,roc_auc_score,0.6487084414781856,Chemprop
tox21,train,random,roc_auc_score,0.7969462570190587,Chemprop
tox21,validate,random,roc_auc_score,0.6450455182072828,Chemprop
bace,train,custer,log_loss,0.4562312303652489,Chemprop
bace,train,custer,log_loss,2.3616580433710266,Chemprop
bace,validate,custer,log_loss,8.25275889570838,Chemprop
bace,validate,custer,log_loss,10.392336190945596,Chemprop
bace,train,random,log_loss,0.4297297171695374,Chemprop
bace,validate,random,log_loss,5.325450060606294,Chemprop
clintox,train,custer,log_loss,0.6594573029870558,Chemprop
clintox,validate,custer,log_loss,1.0939883925989815,Chemprop
clintox,train,random,log_loss,0.5499856088197902,Chemprop
clintox,validate,random,log_loss,2.333737125666497,Chemprop
lipophilicity,train,custer,log_loss,0.1257739184049228,Chemprop
lipophilicity,validate,custer,log_loss,1.26096864733943,Chemprop
lipophilicity,train,random,log_loss,0.0677246588085125,Chemprop
lipophilicity,validate,random,log_loss,1.370611748922812,Chemprop
