dataset,split_method,split_id,model,metric,score
bace,cluster,train,SVC,accuracy_score,0.98989898989899
bace,cluster,validate,SVC,accuracy_score,0.6415929203539823
bace,cluster,train,SVC,balanced_accuracy_score,0.9869126348764358
bace,cluster,validate,SVC,balanced_accuracy_score,0.5327818938394397
bace,cluster,train,SVC,f1_score,0.9923394225103123
bace,cluster,validate,SVC,f1_score,0.7582089552238805
bace,cluster,train,SVC,roc_auc_score,0.99631315430132
bace,cluster,validate,SVC,roc_auc_score,0.5325281640109611
bace,cluster,train,SVC,log_loss,0.17688655131554534
bace,cluster,validate,SVC,log_loss,0.7136547482841925
bace,cluster,train,SVC,matthews_corrcoef,0.9775885429727662
bace,cluster,validate,SVC,matthews_corrcoef,0.06592947826523711
bace,cluster,N/A,SVC,fit_time,0:00:01.382001
bace,cluster,train,LogisticRegression,accuracy_score,0.9774669774669774
bace,cluster,validate,LogisticRegression,accuracy_score,0.6504424778761062
bace,cluster,train,LogisticRegression,balanced_accuracy_score,0.9725896275670032
bace,cluster,validate,LogisticRegression,balanced_accuracy_score,0.5442504820866741
bace,cluster,train,LogisticRegression,f1_score,0.9829311359623308
bace,cluster,validate,LogisticRegression,f1_score,0.764179104477612
bace,cluster,train,LogisticRegression,roc_auc_score,0.996591608878417
bace,cluster,validate,LogisticRegression,roc_auc_score,0.5349132243986603
bace,cluster,train,LogisticRegression,log_loss,0.11167825942648314
bace,cluster,validate,LogisticRegression,log_loss,0.9560876623483494
bace,cluster,train,LogisticRegression,matthews_corrcoef,0.949906340986965
bace,cluster,validate,LogisticRegression,matthews_corrcoef,0.08899458985648105
bace,cluster,N/A,LogisticRegression,fit_time,0:00:00.330005
bace,cluster,train,RandomForestClassifier,accuracy_score,0.9945609945609946
bace,cluster,validate,RandomForestClassifier,accuracy_score,0.7300884955752213
bace,cluster,train,RandomForestClassifier,balanced_accuracy_score,0.9920814479638009
bace,cluster,validate,RandomForestClassifier,balanced_accuracy_score,0.5871815690652593
bace,cluster,train,RandomForestClassifier,f1_score,0.995875073659399
bace,cluster,validate,RandomForestClassifier,f1_score,0.8291316526610644
bace,cluster,train,RandomForestClassifier,roc_auc_score,0.9999169991164422
bace,cluster,validate,RandomForestClassifier,roc_auc_score,0.6336141276768497
bace,cluster,train,RandomForestClassifier,log_loss,0.08709600097747278
bace,cluster,validate,RandomForestClassifier,log_loss,0.5703687130020235
bace,cluster,train,RandomForestClassifier,matthews_corrcoef,0.9879661181126229
bace,cluster,validate,RandomForestClassifier,matthews_corrcoef,0.2092718758637174
bace,cluster,N/A,RandomForestClassifier,fit_time,0:00:00.255001
bace,cluster,train,KNeighborsClassifier,accuracy_score,0.9052059052059052
bace,cluster,validate,KNeighborsClassifier,accuracy_score,0.5398230088495575
bace,cluster,train,KNeighborsClassifier,balanced_accuracy_score,0.8851896971806474
bace,cluster,validate,KNeighborsClassifier,balanced_accuracy_score,0.48036131127575354
bace,cluster,train,KNeighborsClassifier,f1_score,0.9293163383545772
bace,cluster,validate,KNeighborsClassifier,f1_score,0.6601307189542484
bace,cluster,train,KNeighborsClassifier,roc_auc_score,0.9698626469249512
bace,cluster,validate,KNeighborsClassifier,roc_auc_score,0.4940627220136
bace,cluster,train,KNeighborsClassifier,log_loss,0.19683615148635572
bace,cluster,validate,KNeighborsClassifier,log_loss,4.155069702020559
bace,cluster,train,KNeighborsClassifier,matthews_corrcoef,0.7872146654059675
bace,cluster,validate,KNeighborsClassifier,matthews_corrcoef,-0.03545354748102406
bace,cluster,N/A,KNeighborsClassifier,fit_time,0:00:00.004001
bace,cluster,train,GradientBoostingClassifier,accuracy_score,0.8259518259518259
bace,cluster,validate,GradientBoostingClassifier,accuracy_score,0.7477876106194691
bace,cluster,train,GradientBoostingClassifier,balanced_accuracy_score,0.771423599025409
bace,cluster,validate,GradientBoostingClassifier,balanced_accuracy_score,0.5827159240840353
bace,cluster,train,GradientBoostingClassifier,f1_score,0.8770581778265641
bace,cluster,validate,GradientBoostingClassifier,f1_score,0.8446866485013624
bace,cluster,train,GradientBoostingClassifier,roc_auc_score,0.9000776459878445
bace,cluster,validate,GradientBoostingClassifier,roc_auc_score,0.6806048919110931
bace,cluster,train,GradientBoostingClassifier,log_loss,0.4290679574258254
bace,cluster,validate,GradientBoostingClassifier,log_loss,0.5337903985090369
bace,cluster,train,GradientBoostingClassifier,matthews_corrcoef,0.602821815916882
bace,cluster,validate,GradientBoostingClassifier,matthews_corrcoef,0.22772027058937697
bace,cluster,N/A,GradientBoostingClassifier,fit_time,0:00:00.783055
bace,cluster,train,DummyClassifier,accuracy_score,0.6565656565656566
bace,cluster,validate,DummyClassifier,accuracy_score,0.7389380530973452
bace,cluster,train,DummyClassifier,balanced_accuracy_score,0.5
bace,cluster,validate,DummyClassifier,balanced_accuracy_score,0.5
bace,cluster,train,DummyClassifier,f1_score,0.7926829268292683
bace,cluster,validate,DummyClassifier,f1_score,0.8498727735368956
bace,cluster,train,DummyClassifier,roc_auc_score,0.5
bace,cluster,validate,DummyClassifier,roc_auc_score,0.5
bace,cluster,train,DummyClassifier,log_loss,11.861801994211751
bace,cluster,validate,DummyClassifier,log_loss,9.016760209290842
bace,cluster,train,DummyClassifier,matthews_corrcoef,0.0
bace,cluster,validate,DummyClassifier,matthews_corrcoef,0.0
bace,cluster,N/A,DummyClassifier,fit_time,0:00:00.000974
clintox,cluster,train,SVC,accuracy_score,0.9824980111376292
clintox,cluster,validate,SVC,accuracy_score,0.9638009049773756
clintox,cluster,train,SVC,balanced_accuracy_score,0.9255332341269842
clintox,cluster,validate,SVC,balanced_accuracy_score,0.4976635514018692
clintox,cluster,train,SVC,f1_score,0.8910891089108911
clintox,cluster,validate,SVC,f1_score,0.0
clintox,cluster,train,SVC,roc_auc_score,0.9878885582010581
clintox,cluster,validate,SVC,roc_auc_score,0.4022029372496662
clintox,cluster,train,SVC,log_loss,0.12797239016660159
clintox,cluster,validate,SVC,log_loss,0.17123291046039468
clintox,cluster,train,SVC,matthews_corrcoef,0.8824081428645786
clintox,cluster,validate,SVC,matthews_corrcoef,-0.012193567673504184
clintox,cluster,N/A,SVC,fit_time,0:00:00.695309
clintox,cluster,train,LogisticRegression,accuracy_score,0.9824980111376292
clintox,cluster,validate,LogisticRegression,accuracy_score,0.9683257918552036
clintox,cluster,train,LogisticRegression,balanced_accuracy_score,0.9038938492063492
clintox,cluster,validate,LogisticRegression,balanced_accuracy_score,0.5
clintox,cluster,train,LogisticRegression,f1_score,0.8854166666666666
clintox,cluster,validate,LogisticRegression,f1_score,0.0
clintox,cluster,train,LogisticRegression,roc_auc_score,0.9961640211640213
clintox,cluster,validate,LogisticRegression,roc_auc_score,0.48164218958611477
clintox,cluster,train,LogisticRegression,log_loss,0.0573682211636123
clintox,cluster,validate,LogisticRegression,log_loss,0.18574432385157166
clintox,cluster,train,LogisticRegression,matthews_corrcoef,0.8805734095123907
clintox,cluster,validate,LogisticRegression,matthews_corrcoef,0.0
clintox,cluster,N/A,LogisticRegression,fit_time,0:00:00.047006
